,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,HomePlayer19,HomePlayer20,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,AwayPlayer19,AwayPlayer20,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,5,0,Arsenal,Wolverhampton Wanderers,"<strong class=""matchTeamFormation"" data-team-id=""1"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""38"">4-3-3</strong>",Aaron Ramsdale,Jakub Kiwior,Gabriel Magalhães,Thomas Partey,Ben White,Martin Ødegaard,Granit Xhaka,Jorginho,Gabriel Jesus,Bukayo Saka,Leandro Trossard,Matt Turner,Reuell Walters,Kieran Tierney,Rob Holding,Mauro Bandeira,Emile Smith Rowe,Fábio Vieira,Reiss Nelson,Eddie Nketiah,José Sá,Maximilian Kilman,Nathan Collins,Nélson Semedo,Hugo Bueno,Matheus Nunes,Mario Lemina,João Gomes,Adama Traoré,Hwang Hee-Chan,Raúl Jiménez,Dan Bentley,Toti,Craig Dawson,Rayan Aït-Nouri,Pablo Sarabia,Rúben Neves,Joe Hodge,Boubacar Traoré,Matheus Cunha,Matchweek 38,40,-22,81,41
1,2,1,Aston Villa,Brighton and Hove Albion,"<strong class=""matchTeamFormation"" data-team-id=""2"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""131"">4-4-2</strong>",Emiliano Martínez,Ezri Konsa,Lucas Digne,Matty Cash,Tyrone Mings,Leon Bailey,John McGinn,Jacob Ramsey,Boubacar Kamara,Douglas Luiz,Ollie Watkins,Robin Olsen,Calum Chambers,Diego Carlos,Sebastian Revan,Ashley Young,Emiliano Buendía,Leander Dendoncker,Travis Patterson,Bertrand Traoré,Jason Steele,Pascal Groß,Levi Colwill,Joël Veltman,Adam Webster,Julio Enciso,Yasin Ayari,Alexis Mac Allister,Facundo Buonanotte,Deniz Undav,Evan Ferguson,Tom McGill,Pervis Estupiñán,Lewis Dunk,Jan Paul van Hecke,Billy Gilmour,Moisés Caicedo,Jack Hinshelwood,Kaoru Mitoma,Danny Welbeck,Matchweek 38,4,20,58,62
2,1,0,Brentford,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""130"">5-3-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""11""></strong>",David Raya,Ben Mee,Rico Henry,Zanka,Ethan Pinnock,Aaron Hickey,Frank Onyeka,Mikkel Damsgaard,Vitaly Janelt,Bryan Mbeumo,Yoane Wissa,Thomas Strakosha,Finley Stevens,Kristoffer Ajer,Mads Roerslev,Ryan Trevitt,Shandon Baptiste,Josh Dasilva,Kevin Schade,Saman Ghoddos,Ederson,Nathan Aké,Kyle Walker,Aymeric Laporte,Cole Palmer,Kalvin Phillips,Phil Foden,Rico Lewis,Julián Álvarez,Riyad Mahrez,Sergio Gómez,Stefan Ortega,John Stones,Rodri,Shea Charles,Bernardo Silva,Ilkay Gündogan,Alex Robertson,Ben Knight,Erling Haaland,Matchweek 38,11,62,56,89
3,1,1,Chelsea,Newcastle United,"<strong class=""matchTeamFormation"" data-team-id=""4"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""23"">4-3-3</strong>",Kepa,Trevoh Chalobah,Thiago Silva,Lewis Hall,César Azpilicueta,Noni Madueke,Raheem Sterling,Conor Gallagher,Ruben Loftus-Cheek,Enzo Fernández,Kai Havertz,Édouard Mendy,Kalidou Koulibaly,Wesley Fofana,Hakim Ziyech,Christian Pulisic,Mateo Kovacic,Carney Chukwuemeka,Mykhailo Mudryk,João Félix,Martin Dúbravka,Kieran Trippier,Fabian Schär,Sven Botman,Matt Targett,Bruno Guimarães,Elliot Anderson,Anthony Gordon,Alexander Isak,Miguel Almirón,Allan Saint-Maximin,Loris Karius,Mark Gillespie,Harrison Ashby,Paul Dummett,Jamal Lewis,Dan Burn,Lewis Miley,Jacob Murphy,Callum Wilson,Matchweek 38,-9,35,43,70
4,1,1,Crystal Palace,Nottingham Forest,"<strong class=""matchTeamFormation"" data-team-id=""6"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""15"">3-4-2-1</strong>",Sam Johnstone,Tyrick Mitchell,Joachim Andersen,Joel Ward,Marc Guéhi,Michael Olise,Jordan Ayew,Will Hughes,Eberechi Eze,Cheick Doucouré,Odsonne Édouard,Joe Whitworth,Nathaniel Clyne,Chris Richards,Tayo Adaramola,Naouirou Ahamada,Jairo Riedewald,Albert Sambi Lokonga,James McArthur,Jean-Philippe Mateta,Wayne Hennessey,Joe Worrall,Willy-Arnaud Boly,Moussa Niakhaté,Orel Mangala,Renan Lodi,Ryan Yates,Sèrge Aurier,Brennan Johnson,Morgan Gibbs-White,Taiwo Awoniyi,George Shelvey,Harry Toffolo,Cheikhou Kouyaté,Jesse Lingard,Remo Freuler,Emmanuel Dennis,Sam Surridge,André Ayew,Alex Mighten,Matchweek 38,-9,-30,44,37
5,1,0,Everton,Bournemouth,"<strong class=""matchTeamFormation"" data-team-id=""7"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""127"">4-2-3-1</strong>",Jordan Pickford,Yerry Mina,Conor Coady,James Tarkowski,Abdoulaye Doucouré,Idrissa Gueye,James Garner,Dwight McNeil,Alex Iwobi,Amadou Onana,Demarai Gray,Andy Lonergan,Asmir Begovic,Mason Holgate,Michael Keane,Reece Welch,Sean McAllister,Neal Maupay,Ellis Simms,,Mark Travers,Marcos Senesi,Lloyd Kelly,Illia Zabarnyi,Adam Smith,Dango Ouattara,Philip Billing,David Brooks,Jefferson Lerma,Ryan Christie,Dominic Solanke,Darren Randolph,Jack Stephens,Matías Viña,Jack Stacey,Chris Mepham,Lewis Cook,Jaidon Anthony,Kieffer Moore,Dominic Sadi,Matchweek 38,-24,-33,33,39
6,1,4,Leeds United,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""9"">5-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""21"">4-4-2</strong>",Joel Robles,Luke Ayling,Maximilian Wöber,Pascal Struijk,Rasmus Kristensen,Liam Cooper,Weston McKennie,Adam Forshaw,Robin Koch,Jack Harrison,Rodrigo,Illan Meslier,Jeremiah Chilokoa-Mullen,Junior Firpo,Brenden Aaronson,Marc Roca,Crysencio Summerville,Wilfried Gnonto,Georginio Rutter,Sam Greenwood,Fraser Forster,Ben Davies,Clément Lenglet,Davinson Sánchez,Emerson Royal,Son Heung-Min,Oliver Skipp,Pedro Porro,Yves Bissouma,Harry Kane,Dejan Kulusevski,Brandon Austin,Japhet Tanganga,George Abbott,Matthew Craig,Arnaut Danjuma,Pape Sarr,Lucas Moura,Yago Santiago,Richarlison,Matchweek 38,-27,4,31,57
7,2,1,Leicester City,West Ham United,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>",Daniel Iversen,Wout Faes,Jonny Evans,Luke Thomas,Timothy Castagne,James Maddison,Harvey Barnes,Youri Tielemans,Kiernan Dewsbury-Hall,Boubakary Soumaré,Kelechi Iheanacho,Alex Smithies,Ricardo Pereira,Daniel Amartey,Harry Souttar,Dennis Praet,Nampalys Mendy,Jamie Vardy,Tetê,Patson Daka,Lukasz Fabianski,Nayef Aguerd,Aaron Cresswell,Thilo Kehrer,Vladimír Coufal,Flynn Downes,Declan Rice,Lucas Paquetá,Pablo Fornals,Saïd Benrahma,Michail Antonio,Alphonse Areola,Angelo Ogbonna,Kurt Zouma,Emerson,Tomás Soucek,Manuel Lanzini,Maxwel Cornet,Jarrod Bowen,Danny Ings,Matchweek 38,-18,-12,31,40
8,2,1,Manchester United,Fulham,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""34"">4-2-3-1</strong>",David de Gea,Diogo Dalot,Tyrell Malacia,Victor Lindelöf,Harry Maguire,Casemiro,Bruno Fernandes,Fred,Jadon Sancho,Alejandro Garnacho,Marcus Rashford,Jack Butland,Aaron Wan-Bissaka,Luke Shaw,Raphaël Varane,Facundo Pellistri,Christian Eriksen,Scott McTominay,Wout Weghorst,Anthony Martial,Bernd Leno,Tosin Adarabioyo,Antonee Robinson,Kenny Tete,Issa Diop,Tom Cairney,João Palhinha,Harry Wilson,Sasa Lukic,Willian,Aleksandar Mitrovic,Marek Rodák,Cédric Soares,Harrison Reed,Neeskens Kebano,Daniel James,Matthew Dibley-Dias,Bobby De Cordova-Reid,Manor Solomon,Carlos Vinícius,Matchweek 38,14,3,72,52
9,4,4,Southampton,Liverpool,"<strong class=""matchTeamFormation"" data-team-id=""20"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>",Alex McCarthy,Jan Bednarek,Lyanco,James Bree,Kyle Walker-Peters,Roméo Lavia,James Ward-Prowse,Mohamed Elyounoussi,Theo Walcott,Carlos Alcaraz,Kamaldeen Sulemana,Gavin Bazunu,Duje Caleta-Car,Tino Livramento,Stuart Armstrong,Kamari Doyle,Joe Aribo,Sam Amo-Ameyaw,Dom Ballard,Adam Armstrong,Caoimhín Kelleher,Kostas Tsimikas,Trent Alexander-Arnold,Joël Matip,Joe Gomez,James Milner,Fabinho,Curtis Jones,Diogo Jota,Mohamed Salah,Roberto Firmino,Adrián,Rhys Williams,Ibrahima Konaté,Harvey Elliott,Jordan Henderson,Arthur,Fábio Carvalho,Cody Gakpo,Luis Díaz,Matchweek 38,-37,28,24,66
10,4,1,Manchester United,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""12"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">4-3-3</strong>",David de Gea,Raphaël Varane,Aaron Wan-Bissaka,Luke Shaw,Victor Lindelöf,Jadon Sancho,Antony,Casemiro,Christian Eriksen,Bruno Fernandes,Anthony Martial,Jack Butland,Harry Maguire,Tyrell Malacia,Diogo Dalot,Scott McTominay,Fred,Wout Weghorst,Alejandro Garnacho,Marcus Rashford,Kepa,Lewis Hall,Trevoh Chalobah,César Azpilicueta,Wesley Fofana,Conor Gallagher,Carney Chukwuemeka,Enzo Fernández,Noni Madueke,Kai Havertz,Mykhailo Mudryk,Édouard Mendy,Alfie Gilchrist,Kalidou Koulibaly,Thiago Silva,Christian Pulisic,Ruben Loftus-Cheek,Hakim Ziyech,João Félix,David Datro Fofana,Matchweek 37,11,-6,69,43
11,1,1,Brighton and Hove Albion,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""131"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>",Jason Steele,Pervis Estupiñán,Levi Colwill,Pascal Groß,Jan Paul van Hecke,Moisés Caicedo,Kaoru Mitoma,Julio Enciso,Billy Gilmour,Facundo Buonanotte,Danny Welbeck,Tom McGill,Joël Veltman,Lewis Dunk,Adam Webster,Cameron Peupion,Yasin Ayari,Alexis Mac Allister,Evan Ferguson,Deniz Undav,Stefan Ortega,Rodri,Rico Lewis,Kyle Walker,John Stones,Bernardo Silva,Ilkay Gündogan,Kevin De Bruyne,Riyad Mahrez,Erling Haaland,Phil Foden,Ederson,Shea Charles,Cole Palmer,Ben Knight,Nico O'Reilly,Alex Robertson,Sergio Gómez,Kalvin Phillips,Julián Álvarez,Matchweek 37,20,62,61,88
12,0,0,Newcastle United,Leicester City,"<strong class=""matchTeamFormation"" data-team-id=""23"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""26"">5-3-2</strong>",Nick Pope,Kieran Trippier,Dan Burn,Fabian Schär,Sven Botman,Elliot Anderson,Sean Longstaff,Bruno Guimarães,Callum Wilson,Alexander Isak,Miguel Almirón,Martin Dúbravka,Jamal Lewis,Paul Dummett,Matt Targett,Harrison Ashby,Jacob Murphy,Lewis Miley,Allan Saint-Maximin,Anthony Gordon,Daniel Iversen,Wout Faes,Luke Thomas,Harry Souttar,Timothy Castagne,Jonny Evans,Boubakary Soumaré,Youri Tielemans,Wilfred Ndidi,Jamie Vardy,Kelechi Iheanacho,Alex Smithies,Daniel Amartey,Victor Kristiansen,Harvey Barnes,Nampalys Mendy,Dennis Praet,James Maddison,Patson Daka,Tetê,Matchweek 37,35,-18,69,30
13,3,1,West Ham United,Leeds United,"<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""9"">4-3-3</strong>",Lukasz Fabianski,Emerson,Angelo Ogbonna,Vladimír Coufal,Kurt Zouma,Declan Rice,Lucas Paquetá,Tomás Soucek,Jarrod Bowen,Pablo Fornals,Danny Ings,Alphonse Areola,Ben Johnson,Aaron Cresswell,Thilo Kehrer,Manuel Lanzini,Saïd Benrahma,Maxwel Cornet,Michail Antonio,Divin Mubama,Joel Robles,Luke Ayling,Rasmus Kristensen,Maximilian Wöber,Pascal Struijk,Robin Koch,Adam Forshaw,Weston McKennie,Patrick Bamford,Jack Harrison,Rodrigo,Illan Meslier,Liam Cooper,Jeremiah Chilokoa-Mullen,Crysencio Summerville,Brenden Aaronson,Marc Roca,Wilfried Gnonto,Georginio Rutter,Sam Greenwood,Matchweek 37,-14,-25,37,31
