,home_score,away_score,home_team_name,away_team_name,home_formation,away_fromation,HomePlayer1,HomePlayer2,HomePlayer3,HomePlayer4,HomePlayer5,HomePlayer6,HomePlayer7,HomePlayer8,HomePlayer9,HomePlayer10,HomePlayer11,HomePlayer12,HomePlayer13,HomePlayer14,HomePlayer15,HomePlayer16,HomePlayer17,HomePlayer18,HomePlayer19,HomePlayer20,AwayPlayer1,AwayPlayer2,AwayPlayer3,AwayPlayer4,AwayPlayer5,AwayPlayer6,AwayPlayer7,AwayPlayer8,AwayPlayer9,AwayPlayer10,AwayPlayer11,AwayPlayer12,AwayPlayer13,AwayPlayer14,AwayPlayer15,AwayPlayer16,AwayPlayer17,AwayPlayer18,AwayPlayer19,AwayPlayer20,Matchweek,home_GD_prior,away_GD_prior,home_Points_prior,away_Points_prior
0,5,1,Arsenal,Everton,"<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">5-4-1</strong>",Aaron Ramsdale,Gabriel Magalhães,Cédric Soares,Rob Holding,Nuno Tavares,Bukayo Saka,Granit Xhaka,Martin Ødegaard,Gabriel Martinelli,Mohamed Elneny,Eddie Nketiah,Bernd Leno,Zak Swanson,Ben White,Charlie Patino,Salah-Eddine Oulad M'hand,Albert Sambi Lokonga,Emile Smith Rowe,Alexandre Lacazette,Nicolas Pépé,Asmir Begovic,Michael Keane,Alex Iwobi,Mason Holgate,Jarrad Branthwaite,Jonjoe Kenny,Abdoulaye Doucouré,Demarai Gray,Dele Alli,Tom Davies,Dominic Calvert-Lewin,Andy Lonergan,Vitalii Mykolenko,Reece Welch,Séamus Coleman,Donny van de Beek,Isaac Price,Cenk Tosun,Lewis Dobbin,Anthony Gordon,Matchweek 38,9,-19,66,39
1,1,2,Brentford,Leeds United,"<strong class=""matchTeamFormation"" data-team-id=""130"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""9"">4-4-1-1</strong>",David Raya,Mads Bech,Pontus Jansson,Kristoffer Ajer,Rico Henry,Mathias Jensen,Christian Eriksen,Vitaly Janelt,Bryan Mbeumo,Yoane Wissa,Ivan Toney,Álvaro Fernández,Finley Stevens,Mads Roerslev,Julian Jeanvier,Josh Dasilva,Frank Onyeka,Shandon Baptiste,Sergi Canós,Nathan Young-Coombes,Illan Meslier,Diego Llorente,Liam Cooper,Robin Koch,Junior Firpo,Jack Harrison,Raphinha,Sam Greenwood,Kalvin Phillips,Joe Gelhardt,Rodrigo,Kristoffer Klaesson,Pascal Struijk,Leo Hjelde,Charlie Cresswell,Archie Gray,Jamie Shackleton,Lewis Bate,Mateusz Klich,Tyler Roberts,Matchweek 38,-7,-38,46,35
2,3,1,Brighton and Hove Albion,West Ham United,"<strong class=""matchTeamFormation"" data-team-id=""131"">4-3-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>",Robert Sánchez,Marc Cucurella,Adam Webster,Lewis Dunk,Joël Veltman,Solly March,Pascal Groß,Moisés Caicedo,Yves Bissouma,Alexis Mac Allister,Danny Welbeck,Jason Steele,Tariq Lamptey,Shane Duffy,Odeluga Offiah,Adam Lallana,Enock Mwepu,Steven Alzate,Neal Maupay,Evan Ferguson,Lukasz Fabianski,Aaron Cresswell,Vladimír Coufal,Craig Dawson,Kurt Zouma,Pablo Fornals,Manuel Lanzini,Declan Rice,Tomás Soucek,Jarrod Bowen,Michail Antonio,Alphonse Areola,Darren Randolph,Arthur Masuaku,Ryan Fredericks,Ben Johnson,Alex Král,Mark Noble,Armstrong Oko-Flex,Andrii Yarmolenko,Matchweek 38,-4,11,48,56
3,1,2,Burnley,Newcastle United,"<strong class=""matchTeamFormation"" data-team-id=""43"">4-4-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""23"">4-3-3</strong>",Nick Pope,Kevin Long,James Tarkowski,Nathan Collins,Charlie Taylor,Dwight McNeil,Josh Brownhill,Connor Roberts,Jack Cork,Maxwel Cornet,Ashley Barnes,Wayne Hennessey,Bobby Thomas,Phil Bardsley,Owen Dodgson,Aaron Lennon,Dale Stephens,Dara Costelloe,Wout Weghorst,Joseph McGlynn,Martin Dúbravka,Dan Burn,Kieran Trippier,Matt Targett,Jamaal Lascelles,Sean Longstaff,Bruno Guimarães,Joelinton,Miguel Almirón,Callum Wilson,Allan Saint-Maximin,Karl Darlow,Paul Dummett,Emil Krafth,Federico Fernández,Fabian Schär,Matt Ritchie,Jacob Murphy,Dwight Gayle,Chris Wood,Matchweek 38,-18,-19,35,46
4,2,1,Chelsea,Watford,"<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""33"">4-3-3</strong>",Édouard Mendy,Antonio Rüdiger,Thiago Silva,César Azpilicueta,Saúl Ñíguez,Kenedy,N'Golo Kanté,Reece James,Mason Mount,Kai Havertz,Hakim Ziyech,Kepa,Malang Sarr,Trevoh Chalobah,Ben Chilwell,Jorginho,Ruben Loftus-Cheek,Ross Barkley,Christian Pulisic,Romelu Lukaku,Daniel Bachmann,Hassane Kamara,Samir,Kiko Femenía,Christian Kabasele,Tom Cleverley,Moussa Sissoko,Edo Kayembe,João Pedro,Ken Sema,Joshua King,Robert Elliot,William Troost-Ekong,Craig Cathcart,Francisco Sierralta,Adam Masina,Jeremy Ngakia,Dan Gosling,Kwadwo Baah,Cucho Hernández,Matchweek 38,42,-42,71,23
5,1,0,Crystal Palace,Manchester United,"<strong class=""matchTeamFormation"" data-team-id=""6"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""12"">4-2-3-1</strong>",Vicente Guaita,Nathaniel Clyne,Joel Ward,Tyrick Mitchell,Joachim Andersen,Jeffrey Schlupp,Will Hughes,Conor Gallagher,Wilfried Zaha,Jesurun Rak-Sakyi,Odsonne Édouard,Jack Butland,Martin Kelly,Luka Milivojevic,Cheikhou Kouyaté,James McArthur,Eberechi Eze,Christian Benteke,Jordan Ayew,Jean-Philippe Mateta,David de Gea,Victor Lindelöf,Harry Maguire,Diogo Dalot,Alex Telles,Bruno Fernandes,Scott McTominay,Fred,Anthony Elanga,Hannibal Mejbri,Edinson Cavani,Tom Heaton,Eric Bailly,Álvaro Fernández,Phil Jones,Raphaël Varane,Charlie Savage,Juan Mata,Alejandro Garnacho,Shola Shoretire,Matchweek 38,3,1,45,58
6,4,1,Leicester City,Southampton,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""20"">4-4-2</strong>",Kasper Schmeichel,Jonny Evans,Wesley Fofana,Timothy Castagne,James Justin,Youri Tielemans,Nampalys Mendy,James Maddison,Harvey Barnes,Kiernan Dewsbury-Hall,Jamie Vardy,Danny Ward,Çaglar Söyüncü,Ricardo Pereira,Daniel Amartey,Marc Albrighton,Ayoze Pérez,Patson Daka,Kelechi Iheanacho,Ademola Lookman,Alex McCarthy,Mohammed Salisu,Jack Stephens,Kyle Walker-Peters,Lyanco,Oriol Romeu,Mohamed Elyounoussi,James Ward-Prowse,Stuart Armstrong,Nathan Redmond,Adam Armstrong,Willy Caballero,Jan Bednarek,Yan Valery,Will Smallbone,Moussa Djenepo,Ibrahima Diallo,Ché Adams,Shane Long,Theo Walcott,Matchweek 38,0,-21,49,40
7,3,1,Liverpool,Wolverhampton Wanderers,"<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""38"">3-5-2</strong>",Alisson Becker,Andy Robertson,Joël Matip,Ibrahima Konaté,Trent Alexander-Arnold,Jordan Henderson,Naby Keïta,Thiago Alcântara,Sadio Mané,Luis Díaz,Diogo Jota,Caoimhín Kelleher,Virgil van Dijk,Kostas Tsimikas,James Milner,Curtis Jones,Harvey Elliott,Mohamed Salah,Takumi Minamino,Roberto Firmino,José Sá,Toti,Willy-Arnaud Boly,Conor Coady,João Moutinho,Rayan Aït-Nouri,Jonny Otto,Rúben Neves,Leander Dendoncker,Raúl Jiménez,Pedro Neto,John Ruddy,Yerson Mosquera,Ki-Jana Hoever,Marçal,Daniel Podence,Trincão,Hwang Hee-Chan,Chiquinho,Fábio Silva,Matchweek 38,66,-3,89,51
8,3,2,Manchester City,Aston Villa,"<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""2"">4-3-2-1</strong>",Ederson,Fernandinho,John Stones,João Cancelo,Aymeric Laporte,Kevin De Bruyne,Bernardo Silva,Rodri,Gabriel Jesus,Phil Foden,Riyad Mahrez,Scott Carson,Nathan Aké,Oleksandr Zinchenko,Kyle Walker,Ilkay Gündogan,Jack Grealish,James McAtee,Cole Palmer,Raheem Sterling,Robin Olsen,Lucas Digne,Calum Chambers,Tyrone Mings,Matty Cash,Philippe Coutinho,Jacob Ramsey,John McGinn,Douglas Luiz,Emiliano Buendía,Ollie Watkins,Viljami Sinisalo,Ashley Young,Tim Iroegbunam,Marvelous Nakamba,Morgan Sanson,Carney Chukwuemeka,Ben Chrisene,Bertrand Traoré,Danny Ings,Matchweek 38,72,-1,90,45
9,0,5,Norwich City,Tottenham Hotspur,"<strong class=""matchTeamFormation"" data-team-id=""14"">5-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""21"">3-4-2-1</strong>",Tim Krul,Grant Hanley,Sam Byram,Dimitris Giannoulis,Jacob Sørensen,Max Aarons,Kieran Dowell,Mathias Normann,Milot Rashica,Pierre Lees-Melou,Teemu Pukki,Angus Gunn,Jonathan Tomkinson,Christoph Zimmermann,Liam Gibbs,Lukas Rupp,Przemyslaw Placheta,Tony Springett,Christos Tzolis,Jonathan Rowe,Hugo Lloris,Davinson Sánchez,Ben Davies,Eric Dier,Ryan Sessegnon,Rodrigo Bentancur,Emerson Royal,Pierre-Emile Højbjerg,Dejan Kulusevski,Son Heung-Min,Harry Kane,Pierluigi Gollini,Joe Rodon,Harvey White,Harry Winks,Matthew Craig,Alfie Devine,Steven Bergwijn,Lucas Moura,Dane Scarlett,Matchweek 38,-56,24,22,68
10,3,2,Everton,Crystal Palace,"<strong class=""matchTeamFormation"" data-team-id=""7"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""6"">4-3-3</strong>",Jordan Pickford,Mason Holgate,Michael Keane,Séamus Coleman,Vitalii Mykolenko,Alex Iwobi,Abdoulaye Doucouré,André Gomes,Richarlison,Dominic Calvert-Lewin,Anthony Gordon,Asmir Begovic,Reece Welch,Ben Godfrey,Jonjoe Kenny,Donny van de Beek,Dele Alli,Tom Davies,Allan,Demarai Gray,Jack Butland,Marc Guéhi,Nathaniel Clyne,Tyrick Mitchell,Joachim Andersen,Will Hughes,Eberechi Eze,Jeffrey Schlupp,Wilfried Zaha,Jean-Philippe Mateta,Jordan Ayew,Vicente Guaita,Joel Ward,Martin Kelly,Conor Gallagher,Cheikhou Kouyaté,Luka Milivojevic,Jesurun Rak-Sakyi,Odsonne Édouard,Christian Benteke,Matchweek 37,-20,4,36,45
11,1,1,Aston Villa,Burnley,"<strong class=""matchTeamFormation"" data-team-id=""2"">4-3-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""43"">5-3-2</strong>",Emiliano Martínez,Lucas Digne,Calum Chambers,Matty Cash,Tyrone Mings,John McGinn,Emiliano Buendía,Carney Chukwuemeka,Douglas Luiz,Jacob Ramsey,Ollie Watkins,Robin Olsen,Ashley Young,Marvelous Nakamba,Tim Iroegbunam,Morgan Sanson,Josh Feeney,Philippe Coutinho,Bertrand Traoré,Danny Ings,Nick Pope,Connor Roberts,James Tarkowski,Charlie Taylor,Kevin Long,Nathan Collins,Jack Cork,Dwight McNeil,Josh Brownhill,Ashley Barnes,Maxwel Cornet,Wayne Hennessey,Owen Dodgson,Bobby Thomas,Matthew Lowton,Phil Bardsley,Dale Stephens,Aaron Lennon,Dara Costelloe,Wout Weghorst,Matchweek 37,-1,-18,44,34
12,1,1,Chelsea,Leicester City,"<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""26"">3-1-4-2</strong>",Édouard Mendy,Antonio Rüdiger,Thiago Silva,Trevoh Chalobah,Reece James,Jorginho,Marcos Alonso,N'Golo Kanté,Christian Pulisic,Hakim Ziyech,Romelu Lukaku,Kepa,César Azpilicueta,Malang Sarr,Kenedy,Kai Havertz,Saúl Ñíguez,Ruben Loftus-Cheek,Ross Barkley,Mason Mount,Kasper Schmeichel,Daniel Amartey,Jonny Evans,Wesley Fofana,Luke Thomas,Timothy Castagne,Nampalys Mendy,Kiernan Dewsbury-Hall,James Maddison,Jamie Vardy,Kelechi Iheanacho,Danny Ward,Çaglar Söyüncü,Ricardo Pereira,Marc Albrighton,Harvey Barnes,Hamza Choudhury,Ademola Lookman,Patson Daka,Ayoze Pérez,Matchweek 37,42,0,70,48
13,1,2,Southampton,Liverpool,"<strong class=""matchTeamFormation"" data-team-id=""20"">5-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>",Alex McCarthy,Nathan Redmond,Lyanco,Mohammed Salisu,Jack Stephens,Kyle Walker-Peters,Ibrahima Diallo,Mohamed Elyounoussi,James Ward-Prowse,Nathan Tella,Armando Broja,Willy Caballero,Jan Bednarek,Yan Valery,Stuart Armstrong,Oriol Romeu,Moussa Djenepo,Shane Long,Adam Armstrong,Ché Adams,Alisson Becker,Ibrahima Konaté,Joe Gomez,Kostas Tsimikas,Joël Matip,Harvey Elliott,Curtis Jones,James Milner,Diogo Jota,Takumi Minamino,Roberto Firmino,Caoimhín Kelleher,Rhys Williams,Andy Robertson,Thiago Alcântara,Naby Keïta,Alex Oxlade-Chamberlain,Jordan Henderson,Divock Origi,Luis Díaz,Matchweek 37,-20,65,40,86
14,2,0,Newcastle United,Arsenal,"<strong class=""matchTeamFormation"" data-team-id=""23"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>",Martin Dúbravka,Fabian Schär,Matt Targett,Emil Krafth,Dan Burn,Sean Longstaff,Joelinton,Bruno Guimarães,Allan Saint-Maximin,Miguel Almirón,Callum Wilson,Karl Darlow,Kieran Trippier,Paul Dummett,Jamaal Lascelles,Federico Fernández,Jacob Murphy,Ryan Fraser,Matt Ritchie,Dwight Gayle,Aaron Ramsdale,Takehiro Tomiyasu,Gabriel Magalhães,Ben White,Nuno Tavares,Martin Ødegaard,Granit Xhaka,Emile Smith Rowe,Mohamed Elneny,Bukayo Saka,Eddie Nketiah,Bernd Leno,Cédric Soares,Zak Swanson,Charlie Patino,Albert Sambi Lokonga,Salah-Eddine Oulad M'hand,Nicolas Pépé,Alexandre Lacazette,Gabriel Martinelli,Matchweek 37,-21,11,43,66
15,1,1,Aston Villa,Crystal Palace,"<strong class=""matchTeamFormation"" data-team-id=""2"">4-3-1-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""6"">5-3-2</strong>",Emiliano Martínez,Lucas Digne,Ezri Konsa,Matty Cash,Tyrone Mings,John McGinn,Philippe Coutinho,Douglas Luiz,Marvelous Nakamba,Danny Ings,Ollie Watkins,Robin Olsen,Calum Chambers,Ashley Young,Tim Iroegbunam,Morgan Sanson,Emiliano Buendía,Carney Chukwuemeka,Jacob Ramsey,Bertrand Traoré,Jack Butland,Marc Guéhi,Tyrick Mitchell,Joachim Andersen,Cheikhou Kouyaté,Nathaniel Clyne,Conor Gallagher,Luka Milivojevic,Eberechi Eze,Jean-Philippe Mateta,Wilfried Zaha,Vicente Guaita,Joel Ward,Martin Kelly,Jeffrey Schlupp,Will Hughes,Jesurun Rak-Sakyi,Christian Benteke,Odsonne Édouard,Jordan Ayew,Matchweek 37,-1,3,44,44
16,1,1,Leeds United,Brighton and Hove Albion,"<strong class=""matchTeamFormation"" data-team-id=""9"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""131"">3-4-2-1</strong>",Illan Meslier,Robin Koch,Junior Firpo,Diego Llorente,Liam Cooper,Rodrigo,Jack Harrison,Mateusz Klich,Kalvin Phillips,Raphinha,Joe Gelhardt,Kristoffer Klaesson,Charlie Cresswell,Leo Hjelde,Pascal Struijk,Archie Gray,Jamie Shackleton,Lewis Bate,Nohan Kenneh,Sam Greenwood,Robert Sánchez,Lewis Dunk,Marc Cucurella,Joël Veltman,Leandro Trossard,Moisés Caicedo,Yves Bissouma,Solly March,Pascal Groß,Danny Welbeck,Alexis Mac Allister,Jason Steele,Adam Webster,Shane Duffy,Odeluga Offiah,Tariq Lamptey,Adam Lallana,Steven Alzate,Evan Ferguson,Neal Maupay,Matchweek 37,-38,-4,34,47
17,1,5,Watford,Leicester City,"<strong class=""matchTeamFormation"" data-team-id=""33"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""26"">4-1-4-1</strong>",Ben Foster,Christian Kabasele,Adam Masina,Jeremy Ngakia,Craig Cathcart,Edo Kayembe,Moussa Sissoko,Dan Gosling,João Pedro,Samuel Kalu,Ken Sema,Daniel Bachmann,Hassane Kamara,Francisco Sierralta,William Troost-Ekong,James Morris,Peter Etebo,Kwadwo Baah,Tiago Çukur,,Danny Ward,Jonny Evans,James Justin,Timothy Castagne,Wesley Fofana,Kiernan Dewsbury-Hall,Youri Tielemans,Nampalys Mendy,Harvey Barnes,James Maddison,Jamie Vardy,Kasper Schmeichel,Luke Thomas,Çaglar Söyüncü,Daniel Amartey,Marc Albrighton,Patson Daka,Kelechi Iheanacho,Ademola Lookman,Ayoze Pérez,Matchweek 37,-38,-4,23,46
18,2,2,West Ham United,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""25"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-3-3</strong>",Lukasz Fabianski,Aaron Cresswell,Vladimír Coufal,Craig Dawson,Kurt Zouma,Manuel Lanzini,Jarrod Bowen,Pablo Fornals,Tomás Soucek,Declan Rice,Michail Antonio,Alphonse Areola,Ryan Fredericks,Ben Johnson,Arthur Masuaku,Nikola Vlasic,Mark Noble,Alex Král,Armstrong Oko-Flex,Andrii Yarmolenko,Ederson,João Cancelo,Aymeric Laporte,Fernandinho,Oleksandr Zinchenko,Kevin De Bruyne,Rodri,Bernardo Silva,Jack Grealish,Gabriel Jesus,Riyad Mahrez,Zack Steffen,Luke Mbete,Nathan Aké,CJ Egan-Riley,Ilkay Gündogan,Phil Foden,Cole Palmer,Roméo Lavia,Raheem Sterling,Matchweek 37,11,72,55,89
19,2,3,Everton,Brentford,"<strong class=""matchTeamFormation"" data-team-id=""7"">3-4-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""130"">4-3-3</strong>",Jordan Pickford,Jarrad Branthwaite,Mason Holgate,Séamus Coleman,Vitalii Mykolenko,Abdoulaye Doucouré,André Gomes,Alex Iwobi,Dominic Calvert-Lewin,Richarlison,Anthony Gordon,Asmir Begovic,Reece Welch,Jonjoe Kenny,Tom Davies,Allan,Isaac Price,Dele Alli,Demarai Gray,Salomón Rondón,David Raya,Pontus Jansson,Mads Bech,Rico Henry,Kristoffer Ajer,Christian Eriksen,Mathias Jensen,Christian Nørgaard,Ivan Toney,Yoane Wissa,Bryan Mbeumo,Jonas Lössl,Julian Jeanvier,Mads Roerslev,Finley Stevens,Shandon Baptiste,Vitaly Janelt,Josh Dasilva,Myles Peart-Harris,Sergi Canós,Matchweek 37,-18,-8,39,43
20,1,0,Tottenham Hotspur,Burnley,"<strong class=""matchTeamFormation"" data-team-id=""21"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""43"">5-3-2</strong>",Hugo Lloris,Davinson Sánchez,Ben Davies,Eric Dier,Rodrigo Bentancur,Pierre-Emile Højbjerg,Ryan Sessegnon,Emerson Royal,Son Heung-Min,Lucas Moura,Harry Kane,Pierluigi Gollini,Brandon Austin,Joe Rodon,Matthew Craig,Harvey White,Dejan Kulusevski,Harry Winks,Dane Scarlett,Steven Bergwijn,Nick Pope,Matthew Lowton,Charlie Taylor,Kevin Long,Connor Roberts,Nathan Collins,Dwight McNeil,Josh Brownhill,Jack Cork,Ashley Barnes,Maxwel Cornet,Wayne Hennessey,Owen Dodgson,Bobby Thomas,Phil Bardsley,Anthony Mancini,Aaron Lennon,Joseph McGlynn,Dara Costelloe,Wout Weghorst,Matchweek 37,23,-17,65,35
21,1,1,Wolverhampton Wanderers,Norwich City,"<strong class=""matchTeamFormation"" data-team-id=""38"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""14"">3-4-2-1</strong>",John Ruddy,Willy-Arnaud Boly,Conor Coady,Toti,João Moutinho,Rúben Neves,Jonny Otto,Rayan Aït-Nouri,Hwang Hee-Chan,Raúl Jiménez,Pedro Neto,José Sá,Marçal,Ki-Jana Hoever,Daniel Podence,Leander Dendoncker,Fábio Silva,Chiquinho,Trincão,,Angus Gunn,Grant Hanley,Ben Gibson,Sam Byram,Dimitris Giannoulis,Max Aarons,Mathias Normann,Billy Gilmour,Pierre Lees-Melou,Kieran Dowell,Teemu Pukki,Tim Krul,Brandon Williams,Jonathan Tomkinson,Milot Rashica,Tony Springett,Jacob Sørensen,Lukas Rupp,Jonathan Rowe,Christos Tzolis,Matchweek 37,-3,-56,50,21
22,3,0,Tottenham Hotspur,Arsenal,"<strong class=""matchTeamFormation"" data-team-id=""21"">3-4-2-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""1"">4-3-3</strong>",Hugo Lloris,Davinson Sánchez,Eric Dier,Ben Davies,Rodrigo Bentancur,Emerson Royal,Pierre-Emile Højbjerg,Ryan Sessegnon,Son Heung-Min,Dejan Kulusevski,Harry Kane,Pierluigi Gollini,Joe Rodon,Harvey White,Alfie Devine,Harry Winks,Matthew Craig,Lucas Moura,Dane Scarlett,Steven Bergwijn,Aaron Ramsdale,Cédric Soares,Gabriel Magalhães,Rob Holding,Takehiro Tomiyasu,Granit Xhaka,Martin Ødegaard,Mohamed Elneny,Gabriel Martinelli,Eddie Nketiah,Bukayo Saka,Bernd Leno,Nuno Tavares,Ben White,Zak Swanson,Emile Smith Rowe,Charlie Patino,Albert Sambi Lokonga,Alexandre Lacazette,Nicolas Pépé,Matchweek 36,20,14,62,66
23,0,3,Leeds United,Chelsea,"<strong class=""matchTeamFormation"" data-team-id=""9"">5-4-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""4"">3-4-2-1</strong>",Illan Meslier,Raphinha,Robin Koch,Pascal Struijk,Liam Cooper,Diego Llorente,Lewis Bate,Daniel James,Kalvin Phillips,Jack Harrison,Rodrigo,Kristoffer Klaesson,Charlie Cresswell,Junior Firpo,Leo Hjelde,Mateusz Klich,Archie Gray,Jamie Shackleton,Sam Greenwood,Joe Gelhardt,Édouard Mendy,Andreas Christensen,Antonio Rüdiger,Trevoh Chalobah,Mateo Kovacic,Reece James,Jorginho,Marcos Alonso,Mason Mount,Christian Pulisic,Romelu Lukaku,Kepa,Thiago Silva,César Azpilicueta,Malang Sarr,Kai Havertz,Ruben Loftus-Cheek,Hakim Ziyech,Ross Barkley,Timo Werner,Matchweek 36,-35,39,34,67
24,3,0,Leicester City,Norwich City,"<strong class=""matchTeamFormation"" data-team-id=""26"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""14"">4-1-4-1</strong>",Kasper Schmeichel,Daniel Amartey,Jonny Evans,James Justin,Timothy Castagne,James Maddison,Ademola Lookman,Kiernan Dewsbury-Hall,Youri Tielemans,Harvey Barnes,Jamie Vardy,Danny Ward,Luke Thomas,Çaglar Söyüncü,Nampalys Mendy,Marc Albrighton,Patson Daka,Kelechi Iheanacho,Ayoze Pérez,,Angus Gunn,Max Aarons,Sam Byram,Dimitris Giannoulis,Grant Hanley,Tony Springett,Lukas Rupp,Billy Gilmour,Pierre Lees-Melou,Milot Rashica,Teemu Pukki,Tim Krul,Ben Gibson,Brandon Williams,Przemyslaw Placheta,Kieran Dowell,Jacob Sørensen,Liam Gibbs,Christos Tzolis,Jonathan Rowe,Matchweek 36,-7,-53,42,21
25,0,0,Watford,Everton,"<strong class=""matchTeamFormation"" data-team-id=""33"">4-3-3</strong>","<strong class=""matchTeamFormation"" data-team-id=""7"">5-4-1</strong>",Ben Foster,Christian Kabasele,Adam Masina,Samir,Jeremy Ngakia,Edo Kayembe,Moussa Sissoko,Dan Gosling,Samuel Kalu,Ken Sema,João Pedro,Daniel Bachmann,Francisco Sierralta,James Morris,Craig Cathcart,William Troost-Ekong,Peter Etebo,Adrian Blake,Tiago Çukur,Jack Grieves,Jordan Pickford,Michael Keane,Mason Holgate,Alex Iwobi,Vitalii Mykolenko,Séamus Coleman,Abdoulaye Doucouré,Demarai Gray,Anthony Gordon,Fabian Delph,Richarlison,Asmir Begovic,Jarrad Branthwaite,Jonjoe Kenny,Tom Davies,Dele Alli,Allan,André Gomes,Salomón Rondón,Dominic Calvert-Lewin,Matchweek 36,-38,-19,22,35
26,1,5,Wolverhampton Wanderers,Manchester City,"<strong class=""matchTeamFormation"" data-team-id=""38"">3-5-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""11"">4-2-3-1</strong>",José Sá,Conor Coady,Jonny Otto,Willy-Arnaud Boly,Rúben Neves,Chiquinho,Leander Dendoncker,Rayan Aït-Nouri,João Moutinho,Raúl Jiménez,Pedro Neto,John Ruddy,Yerson Mosquera,Ki-Jana Hoever,Marçal,Toti,Luke Cundle,Hwang Hee-Chan,Fábio Silva,Trincão,Ederson,Aymeric Laporte,Fernandinho,João Cancelo,Oleksandr Zinchenko,Raheem Sterling,Kevin De Bruyne,Ilkay Gündogan,Phil Foden,Rodri,Bernardo Silva,Zack Steffen,Luke Mbete,Nathan Aké,CJ Egan-Riley,Roméo Lavia,Jack Grealish,Cole Palmer,Gabriel Jesus,Riyad Mahrez,Matchweek 36,1,68,50,86
27,1,2,Aston Villa,Liverpool,"<strong class=""matchTeamFormation"" data-team-id=""2"">4-3-1-2</strong>","<strong class=""matchTeamFormation"" data-team-id=""10"">4-3-3</strong>",Emiliano Martínez,Lucas Digne,Ezri Konsa,Matty Cash,Tyrone Mings,Marvelous Nakamba,John McGinn,Douglas Luiz,Philippe Coutinho,Ollie Watkins,Danny Ings,Robin Olsen,Calum Chambers,Ashley Young,Ben Chrisene,Emiliano Buendía,Tim Iroegbunam,Carney Chukwuemeka,Morgan Sanson,Bertrand Traoré,Alisson Becker,Joël Matip,Trent Alexander-Arnold,Virgil van Dijk,Kostas Tsimikas,Naby Keïta,Curtis Jones,Fabinho,Diogo Jota,Luis Díaz,Sadio Mané,Caoimhín Kelleher,Joe Gomez,Ibrahima Konaté,Jordan Henderson,James Milner,Thiago Alcântara,Divock Origi,Roberto Firmino,Mohamed Salah,Matchweek 36,0,64,43,83
28,2,1,Arsenal,Leeds United,"<strong class=""matchTeamFormation"" data-team-id=""1"">4-2-3-1</strong>","<strong class=""matchTeamFormation"" data-team-id=""9"">4-2-3-1</strong>",Aaron Ramsdale,Cédric Soares,Rob Holding,Takehiro Tomiyasu,Gabriel Magalhães,Bukayo Saka,Granit Xhaka,Martin Ødegaard,Mohamed Elneny,Gabriel Martinelli,Eddie Nketiah,Bernd Leno,Nuno Tavares,Zak Swanson,Emile Smith Rowe,Salah-Eddine Oulad M'hand,Charlie Patino,Albert Sambi Lokonga,Alexandre Lacazette,Nicolas Pépé,Illan Meslier,Junior Firpo,Robin Koch,Diego Llorente,Luke Ayling,Raphinha,Jack Harrison,Mateusz Klich,Kalvin Phillips,Daniel James,Joe Gelhardt,Kristoffer Klaesson,Charlie Cresswell,Leo Hjelde,Pascal Struijk,Archie Gray,Jamie Shackleton,Lewis Bate,Sam Greenwood,Rodrigo,Matchweek 36,10,-37,63,34
